51,2900682,1,15 mins 51 secs,5.94,0.63,0.63,0.63,0.63,0,0,0,0,0.94,2.5
52,2311673,3,5 mins 1 sec,8.44,0.63,0.63,0.63,0.63,0.63,0.63,0.31,0.63,1.25,2.5
53,1400669,1,16 mins 53 secs,5.31,0,0.63,0,0,0,0.63,0.63,0.63,0.31,2.5
54,1001682,1,8 mins 49 secs,6.88,0,0.63,0.63,0.63,0,0.63,1.25,0,0.63,2.5
55,1001682,2,4 mins 9 secs,9.06,0.63,0.63,0.63,0.63,0.63,0.63,0.31,0.63,1.25,3.13
56,1321673,1,10 mins 43 secs,4.06,0.63,0.63,0.63,0,0,0.63,1.25,0,0.31,0
57,2391265,1,16 mins 22 secs,6.88,0.63,0.63,0.63,0.63,0,0,1.25,0.63,0,2.5
58,2292865,1,17 mins 14 secs,3.13,0.63,0.63,0,0.63,0.63,0,0,0.63,0,0
59,2382365,1,19 mins 23 secs,4.38,0.63,0.63,0.63,0.63,0,0,0,0.63,0.63,0.63
60,2342265,2,4 mins 45 secs,9.38,0.63,0.63,0.63,0,0.63,0.63,1.25,0.63,1.25,3.13
61,3416679,1,23 mins 56 secs,3.44,0.63,0.63,0,0,0.63,0,0.31,0.63,0.63,0
62,2021673,2,6 mins 29 secs,10,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,1.25,3.13
63,1799678,1,24 mins 17 secs,7.5,0.63,0.63,0.63,0.63,0.63,0,1.25,0,1.25,1.88
64,2110669,1,29 mins 33 secs,4.06,0,0.63,0.63,0.63,0,0.63,0.31,0,1.25,0
65,2302673,1,10 mins 37 secs,3.13,0.63,0.63,0,0.63,0,0,0.31,0,0.31,0.63
66,2341365,2,6 mins 46 secs,4.38,0,0,0.63,0.63,0.63,0.63,0,0,0,1.88
67,2717685,1,8 hours 33 mins,0.94,0,0,0,0,0.63,0,0.31,0,0,0
68,2341465,1,23 mins 4 secs,0.63,0,0,0,0,0,0,0,0.63,0,0
69,3320673,1,14 hours 41 mins,5.94,0,0.63,0,0.63,0.63,0,0.63,0.63,0.94,1.88
70,1401676,1,19 mins 27 secs,4.69,0.63,0.63,0.63,0.63,0,0,0.63,0.63,0.31,0.63
71,2453065,3,11 mins 3 secs,4.06,0.63,0.63,0,0.63,0.63,0.63,0,0.63,0.31,0
72,2305682,1,36 secs,0,0,0,0,0,0,0,0,0,0,0
73,2341865,1,18 mins 3 secs,6.88,0,0.63,0.63,0,0,0,0.94,0.63,0.94,3.13
74,2110669,2,16 mins 13 secs,8.13,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,1.25,1.25
75,2341465,2,14 mins 27 secs,3.13,0.63,0.63,0,0,0,0,0.63,0.63,0,0.63
76,2108679,3,6 mins 40 secs,9.06,0.63,0.63,0.63,0.63,0.63,0.63,0.94,0.63,0.63,3.13
77,1400669,2,23 mins 51 secs,8.44,0.63,0.63,0.63,0.63,0.63,0,0.31,0.63,1.25,3.13
78,2109673,1,13 mins 1 sec,2.19,0,0.63,0.63,0,0,0,0.31,0.63,0,0
79,2110679,1,13 hours 15 mins,6.25,0.63,0.63,0,0.63,0,0.63,0,0.63,1.25,1.88
80,1014676,1,21 mins 54 secs,6.25,0.63,0.63,0.63,0,0,0.63,0.63,0,0.63,2.5
81,1406679,1,16 mins 25 secs,5,0.63,0.63,0,0,0.63,0.63,0.63,0.63,0,1.25
82,2341865,2,3 mins 12 secs,9.38,0.63,0.63,0.63,0,0.63,0.63,1.25,0.63,1.25,3.13
83,2816679,1,12 mins 50 secs,6.88,0.63,0.63,0.63,0.63,0.63,0,0.94,0.63,0.31,1.88
84,2381365,1,2 mins 49 secs,0,0,0,0,0,0,0,0,0,0,0
85,2453065,4,7 mins 11 secs,3.44,0.63,0.63,0,0.63,0.63,0.63,0.31,0,0,0
86,2382967,3,13 mins 55 secs,6.25,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0
87,2453065,5,12 hours 47 mins,5.94,0.63,0.63,0.63,0.63,0.63,0.63,0.31,0.63,0.63,0.63
88,2313065,2,10 mins 8 secs,8.75,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,0.63,2.5
89,2332367,7,10 mins 51 secs,10,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,1.25,3.13
90,2811673,1,39 mins 33 secs,3.75,0,0.63,0,0,0,0,1.25,0.63,0,1.25
91,1817689,1,17 mins 35 secs,1.56,0,0,0,0,0,0,0,0.63,0.31,0.63
92,2107670,1,9 mins 52 secs,0.63,0,0.63,0,0,0,0,0,0,0,0
93,2313065,3,33 mins 47 secs,9.69,0.63,0.63,0.63,0.63,0.63,0.63,0.94,0.63,1.25,3.13
