Index,ID,Attempt Number,Time taken,10,1.25,2.5,1.25,2.5,2.5
82,2391265,1,5 mins 49 secs,7.92,1.25,2.5,0.42,1.25,2.5
83,1014676,1,10 mins 48 secs,4.17,1.25,1.25,0.42,1.25,0
84,2717685,2,16 mins 6 secs,9.38,1.25,2.5,1.25,1.88,2.5
85,2342265,1,3 mins 42 secs,6.04,1.25,1.25,0.42,0.63,2.5
86,1799678,1,17 mins 42 secs,9.17,1.25,2.5,0.42,2.5,2.5
87,2321665,1,11 hours 23 mins,4.17,1.25,2.5,0.42,0,0
88,2805673,1,8 mins 53 secs,2.29,1.25,0,0.42,0.63,0
89,2717685,3,5 mins 7 secs,7.5,1.25,0,1.25,2.5,2.5
90,3416679,3,1 min 14 secs,10,1.25,2.5,1.25,2.5,2.5
91,2302673,1,8 mins 36 secs,2.92,1.25,0,0.42,1.25,0
92,1400685,1,3 mins 54 secs,2.5,0,0,1.25,1.25,0
93,2382365,1,7 mins 40 secs,1.88,0,0,1.25,0.63,0
94,2021673,2,17 mins 26 secs,7.5,1.25,0,1.25,2.5,2.5
95,2341365,3,2 mins 52 secs,8.75,1.25,1.25,1.25,2.5,2.5
96,2218682,1,20 hours 57 mins,0.42,0,0,0.42,0,0
97,1401676,1,30 mins 5 secs,2.92,1.25,0,0.42,1.25,0
98,2381865,1,12 mins 12 secs,1.25,0,0,1.25,0,0
99,2453065,4,26 mins 36 secs,3.13,1.25,0,1.25,0.63,0
100,2304679,5,5 mins 21 secs,10,1.25,2.5,1.25,2.5,2.5
101,2343365,2,8 mins 51 secs,9.17,1.25,2.5,0.42,2.5,2.5
102,2721669,2,4 mins 9 secs,5,1.25,0,1.25,0,2.5
103,2341265,1,15 mins 9 secs,1.67,1.25,0,0.42,0,0
104,2108679,3,2 mins 47 secs,6.88,1.25,0,1.25,1.88,2.5
105,2107670,1,11 mins 30 secs,1.67,1.25,0,0.42,0,0
106,2114672,1,18 mins 30 secs,4.79,1.25,2.5,0.42,0.63,0
107,2305682,4,3 mins 1 sec,9.17,1.25,2.5,0.42,2.5,2.5
108,1817689,2,7 mins 12 secs,3.75,1.25,0,1.25,1.25,0
109,2014679,1,1 hour 19 mins,0.42,0,0,0.42,0,0
110,1819682,1,6 mins 10 secs,2.92,1.25,1.25,0.42,0,0
111,1400669,2,2 mins 23 secs,10,1.25,2.5,1.25,2.5,2.5
112,1401682,1,7 mins 22 secs,10,1.25,2.5,1.25,2.5,2.5
113,2321465,5,8 mins 53 secs,8.13,1.25,2.5,1.25,0.63,2.5
114,2108679,4,8 mins 57 secs,10,1.25,2.5,1.25,2.5,2.5
115,2332367,5,1 min 9 secs,10,1.25,2.5,1.25,2.5,2.5
116,2014679,2,1 hour 9 mins,3.13,1.25,0,1.25,0.63,0
117,2109673,1,1 min 39 secs,10,1.25,2.5,1.25,2.5,2.5
118,2341865,1,6 mins 17 secs,5,1.25,1.25,1.25,1.25,0
119,2381365,1,5 mins 52 secs,1.25,0,0,1.25,0,0
120,2381365,2,17 hours 32 mins,2.5,1.25,0,1.25,0,0
121,2453065,5,31 mins 57 secs,7.5,1.25,0,1.25,2.5,2.5
122,2014679,3,33 mins 58 secs,10,1.25,2.5,1.25,2.5,2.5
123,2382967,3,4 mins 11 secs,5,1.25,0,1.25,0,2.5
124,2251265,1,35 mins 41 secs,4.17,1.25,2.5,0.42,0,0
125,2313065,2,2 mins 42 secs,5.42,1.25,1.25,0.42,0,2.5
126,2453065,6,52 secs,8.75,1.25,1.25,1.25,2.5,2.5
127,2332367,6,2 mins 17 secs,10,1.25,2.5,1.25,2.5,2.5
128,2301676,1,13 hours 23 mins,2.29,1.25,0,0.42,0.63,0
129,2321365,1,6 mins 42 secs,8.75,1.25,1.25,1.25,2.5,2.5
130,2382967,4,4 mins 37 secs,10,1.25,2.5,1.25,2.5,2.5
131,2111679,1,9 mins 55 secs,1.25,0,0,1.25,0,0
132,2304679,6,2 mins 10 secs,10,1.25,2.5,1.25,2.5,2.5
133,1416669,2,15 mins 18 secs,6.67,1.25,1.25,0.42,1.25,2.5
134,2111679,2,6 mins 47 secs,5,1.25,0,1.25,2.5,0
135,3406673,1,14 mins 24 secs,2.29,1.25,0,0.42,0.63,0
136,2105679,2,10 mins 23 secs,7.5,1.25,2.5,1.25,2.5,0
137,2108679,5,1 min 44 secs,9.17,1.25,2.5,0.42,2.5,2.5
138,3306685,1,9 mins 17 secs,2.5,0,0,1.25,1.25,0
139,2313065,3,2 mins 43 secs,10,1.25,2.5,1.25,2.5,2.5
140,1406679,2,6 mins 21 secs,0.42,0,0,0.42,0,0
141,2362965,1,18 mins 3 secs,4.79,1.25,2.5,0.42,0.63,0
142,6212665,1,5 mins 50 secs,1.67,1.25,0,0.42,0,0
143,2306679,1,12 mins 14 secs,3.54,0,2.5,0.42,0.63,0
144,6212665,2,8 mins 21 secs,3.13,1.25,0,1.25,0.63,0
145,2809669,1,13 mins 22 secs,4.79,1.25,1.25,0.42,1.88,0
146,2818679,1,8 mins 2 secs,3.75,1.25,1.25,1.25,0,0
147,6212665,3,1 min 10 secs,7.5,1.25,0,1.25,2.5,2.5
148,2321665,2,22 mins 50 secs,10,1.25,2.5,1.25,2.5,2.5
149,2393065,1,6 hours 25 mins,2.5,1.25,0,1.25,0,0
150,2382967,5,2 mins 10 secs,10,1.25,2.5,1.25,2.5,2.5
151,2810689,1,9 mins 58 secs,6.67,1.25,1.25,0.42,1.25,2.5
152,2393365,1,49 mins 6 secs,6.67,1.25,0,0.42,2.5,2.5
153,2318685,1,1 hour 23 mins,1.67,0,1.25,0.42,0,0
154,3406673,2,3 mins 3 secs,5.63,1.25,0,1.25,0.63,2.5
155,2107670,2,10 mins 21 secs,6.25,1.25,1.25,1.25,2.5,0
156,3404673,1,11 mins 4 secs,1.67,1.25,0,0.42,0,0
