Index,ID,Attempt Number,Time taken,10,3,2.5,2.5,1,1
90,1321673,2,15 mins 44 secs,5.4,1.5,0,2.5,0.4,1
91,1014676,1,21 mins 39 secs,3,2,0,0,0,1
92,3306685,1,11 mins 42 secs,4.7,1.5,0.5,2.5,0.2,0
93,2321465,3,18 mins 19 secs,9.1,2.5,2.5,2.5,0.6,0
94,2341365,2,7 mins 58 secs,9.5,3,2,2.5,1,1
95,2391265,1,6 mins 55 secs,4.4,3,1,0,0.4,1
96,1001682,1,9 mins 43 secs,4.7,2,2.5,0,0.2,1
97,1001682,2,4 mins 28 secs,9.4,3,2.5,2.5,0.4,1
98,2321665,1,23 mins 7 secs,3.5,2,0.5,0,0,1
99,1799678,1,14 mins 29 secs,3,3,0,0,0,1
100,2342265,2,5 mins 15 secs,6.2,3,2,0,0.2,1
101,2302673,1,12 mins 19 secs,5.5,2,2.5,0,0,1
102,2218682,1,1 hour 29 mins,5.5,2,2.5,0,0,1
103,2111679,1,20 mins 11 secs,3,3,0,0,0,1
104,2381865,1,26 mins 32 secs,0.7,0.5,0,0,0.2,1
105,1817689,2,9 mins 34 secs,3.9,2.5,0,0,0.4,1
106,2341365,3,6 mins 29 secs,9,3,2.5,2.5,1,0
107,2321365,2,7 mins 51 secs,6.4,2.5,2.5,0,0.4,1
108,2014679,2,5 hours 6 mins,3.6,2,0,0,0.6,1
109,2021673,2,21 mins 22 secs,10,3,2.5,2.5,1,1
110,1401676,1,14 mins 57 secs,4.8,2,1,0,0.8,1
111,2381865,2,3 mins 31 secs,7.6,1,2.5,2.5,0.6,1
112,2453065,3,13 mins 8 secs,9.2,3,2.5,2.5,0.2,1
113,2343365,2,12 mins 42 secs,6.8,2.5,0,2.5,0.8,0
114,2341265,1,8 mins 58 secs,7.4,1.5,2,2.5,0.4,1
115,2721669,2,5 mins 47 secs,9,3,2.5,2.5,1,1
116,2306679,1,18 mins 27 secs,2,2,0,0,0,0
117,1401682,1,19 mins 9 secs,4.4,2,1,0,0.4,0
118,2402507,2,5 mins 8 secs,9.8,3,2.5,2.5,0.8,1
119,2305682,3,8 mins 16 secs,9.8,3,2.5,2.5,0.8,0
120,2332367,8,1 hour 52 mins,10,3,2.5,2.5,1,1
121,1400669,5,2 mins 20 secs,9.4,3,2.5,2.5,0.4,1
122,2341465,1,14 hours 59 mins,1.5,1.5,0,0,0,1
123,2111679,2,7 mins 14 secs,8.3,3,1,2.5,0.8,1
124,2341865,1,17 mins 55 secs,5.9,2,2.5,0,0.4,1
125,2108679,3,5 mins 7 secs,10,3,2.5,2.5,1,0
126,2381365,3,10 mins 37 secs,2.7,2.5,0,0,0.2,1
127,2109673,2,2 mins 44 secs,9.8,3,2.5,2.5,0.8,1
128,1401679,3,13 hours 18 mins,6,2.5,0,2.5,0,0
129,2216669,2,6 mins 34 secs,9.6,3,2.5,2.5,0.6,1
130,2382967,3,25 mins 54 secs,9.3,3,2,2.5,0.8,0
131,6212665,1,2 hours 15 mins,1.9,1.5,0,0,0.4,0
132,2811673,1,57 mins 29 secs,7.2,1.5,2,2.5,0.2,1
133,2453065,4,6 mins 56 secs,9,3,2.5,2.5,1,1
134,2251265,3,14 hours 4 mins,8,2.5,2,2.5,0,0
135,2304679,5,19 mins 38 secs,9.5,2.5,2.5,2.5,1,1
136,2313065,2,7 mins 2 secs,9.5,2.5,2.5,2.5,1,1
137,2301676,1,11 mins 40 secs,3.1,1.5,0,0,0.6,0
138,2453065,5,1 min 41 secs,10,3,2.5,2.5,1,1
139,2393065,1,3 hours 15 mins,2.5,1.5,0,0,0,0
140,2362965,1,1 hour 12 mins,2.5,2.5,0,0,0,1
141,2332367,9,2 mins 19 secs,10,3,2.5,2.5,1,1
142,2321365,3,4 mins 11 secs,9.4,3,2.5,2.5,0.4,0
143,2382967,4,5 mins 30 secs,10,3,2.5,2.5,1,0
144,2321465,3,20 mins 51 secs,7.8,2,2.5,2.5,0.8,0
145,1416669,2,19 mins 12 secs,7.2,2,1.5,2.5,0.2,0
146,3406673,1,13 mins 17 secs,3.5,3,0.5,0,0,0
147,2105679,2,9 mins 22 secs,9.2,3,2.5,2.5,0.2,1
148,3306685,2,9 mins 52 secs,4.3,1.5,1,0,0.8,1
149,2108679,4,3 mins 9 secs,10,3,2.5,2.5,1,1
150,2313065,3,4 mins 23 secs,10,3,2.5,2.5,1,0
151,1406679,3,5 mins 49 secs,0.5,0.5,0,0,0,0
152,6212665,2,51 mins 26 secs,8.1,2.5,1.5,2.5,0.6,1
153,2809669,1,10 mins 24 secs,6.4,2.5,2.5,0,0.4,1
154,2818679,1,11 mins 20 secs,6,2.5,2.5,0,0,1
155,2313683,1,11 mins 9 secs,3,1.5,0.5,0,0,1
156,2393365,1,29 mins 28 secs,5.9,2,1,2.5,0.4,0
157,2382967,5,4 mins 59 secs,10,3,2.5,2.5,1,0
158,3404673,1,10 mins 22 secs,4.8,1.5,2.5,0,0.8,1
159,2318685,1,1 hour 9 mins,3,1,1,0,0,0
