43,2717685,1,9 days 1 hour,2.83,0,0,0.43,0,0,0,0.87,0.43,0.43,0,0.65,0
44,2341465,1,1 day 20 hours,5.65,0,0.22,0.43,0,0,0.43,0.65,0.43,1.3,0,0.87,1.3
45,9211865,1,24 mins 1 sec,6.87,0.35,0.87,0.43,0.43,0.43,0.43,0.87,0,1.3,0,0.43,1.3
46,1799678,1,30 mins 14 secs,8.3,0.7,0.43,0.43,0,0.43,0.43,0.87,0.43,1.74,0.43,0.65,1.74
47,1799678,2,7 mins 59 secs,10,0.87,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
48,2304679,1,15 mins 46 secs,5.65,0,0.43,0,0.43,0.43,0,0.43,0,1.74,0,0.43,1.74
49,2016685,1,31 mins 2 secs,7,0.7,0.43,0.43,0.43,0.43,0.43,0.65,0.43,0.87,0,0,2.17
50,1400669,1,18 mins 59 secs,6.22,0.35,0.43,0,0.43,0,0.43,0.22,0,1.74,0,0.87,1.74
51,1400669,2,9 mins 18 secs,8.96,0.7,0.87,0.43,0.43,0.43,0.43,0.43,0.43,1.3,0.43,0.87,2.17
52,2202685,1,12 mins 43 secs,4,0.52,0.43,0.43,0,0,0.43,0,0,0.43,0,0,1.74
53,2214669,1,16 mins 35 secs,8.35,0.52,0.43,0.43,0.22,0.43,0.43,0.87,0.43,1.74,0,0.65,2.17
54,2314679,1,24 mins 27 secs,6.61,0.52,0.43,0.43,0.43,0.43,0.43,0.87,0.43,0.43,0,0.43,1.74
55,2300669,1,20 days 8 hours,3.76,0.17,0,0,0.11,0,0.43,0.87,0.43,0.87,0,0,0.87
56,1401676,1,18 mins 8 secs,6.83,0.52,0.87,0.43,0,0.43,0.43,0.87,0,0.87,0.43,0.65,1.3
57,2292865,1,16 mins 19 secs,3,0.17,0.43,0.43,0,0,0,0,0,0.43,0,0.65,0.87
